Pennant Sector,Scale,CurrentRatioMin,CurrentRatioMax
 Alcoholic Beverages Industry,Large,81.25,137.75
 Alcoholic Beverages Industry,Medium,97,200.75
 Alcoholic Beverages Industry,Small,66,171
 Books & Cards,Large,127.5,223.5
 Books & Cards,Medium,90,153
 Books & Cards,Small,94.5,216.5
 Cocoa Products & Confectionery,Large,87.25,204
 Cocoa Products & Confectionery,Medium,102.75,161.75
 Cocoa Products & Confectionery,Small,62,184
 Diversified Metal & Metal Products ,Large,107,169
 Diversified Metal & Metal Products ,Medium,114,180.5
 Diversified Metal & Metal Products ,Small,79,234
 Glass & Glassware,Large,121.25,330
 Glass & Glassware,Medium,121.5,279.25
 Glass & Glassware,Small,105,447.25
 Misc. Electrical Machinery,Large,130.5,224.5
 Misc. Electrical Machinery,Medium,142,219
 Misc. Electrical Machinery,Small,107.5,284.5
 Other Consumer Goods,Large,105,197
 Other Consumer Goods,Medium,117,265.25
 Other Consumer Goods,Small,104.5,292.25
 Wholesale Trading Industry,Large,108,198
 Wholesale Trading Industry,Medium,112,268.5
 Wholesale Trading Industry,Small,98,404
 Pesticides,Large,133,245.25
 Pesticides,Medium,125.75,219.75
 Pesticides,Small,100.5,263.25
Agricultural Machinery,Large,142.5,311
Agricultural Machinery,Medium,112,343
Agricultural Machinery,Small,86,167
Air Transport & Allied Services ,Large,22,145.5
Air Transport & Allied Services ,Medium,91.5,277.5
Air Transport & Allied Services ,Small,8,121.5
Air-conditioners & Refrigerators,Large,124.5,190.5
Air-conditioners & Refrigerators,Medium,100.25,160.5
Air-conditioners & Refrigerators,Small,107,174
Aluminium & Aluminium Products,Large,126.5,182
Aluminium & Aluminium Products,Medium,124,191.25
Aluminium & Aluminium Products,Small,115.25,178.25
Automobile ,Large,84.5,162
Automobile ,Medium,77.25,179.5
Automobile ,Small,74.5,156.5
Automobiles Ancillaries,Large,94,162
Automobiles Ancillaries,Medium,99,201
Automobiles Ancillaries,Small,89,193
Bakery Products,Large,94,238.25
Bakery Products,Medium,134,355
Bakery Products,Small,47,274.5
Boilers & Turbines,Large,97,124.5
Boilers & Turbines,Medium,109,146
Boilers & Turbines,Small,107,343
