Pennant Sector,Scale,DebtSerCoverageRatioMin,DebtSerCoverageRatioMax
 Alcoholic Beverages Industry,Large,22,164
 Alcoholic Beverages Industry,Medium,21,88.5
 Alcoholic Beverages Industry,Small,2,36
 Books & Cards,Large,3,115
 Books & Cards,Medium,14.5,62.5
 Books & Cards,Small,4.5,179
 Cocoa Products & Confectionery,Large,110,"2,232.5"
 Cocoa Products & Confectionery,Medium,21.25,81
 Cocoa Products & Confectionery,Small,23,31
 Diversified Metal & Metal Products ,Large,26.75,111
 Diversified Metal & Metal Products ,Medium,32.5,183
 Diversified Metal & Metal Products ,Small,1.5,112.5
 Glass & Glassware,Large,55,345
 Glass & Glassware,Medium,24.25,245.5
 Glass & Glassware,Small,3,50
 Misc. Electrical Machinery,Large,47.25,629
 Misc. Electrical Machinery,Medium,43,325.5
 Misc. Electrical Machinery,Small,12,194.75
 Other Consumer Goods,Large,12.25,272
 Other Consumer Goods,Medium,8,202
 Other Consumer Goods,Small,10,65
 Wholesale Trading Industry,Large,15,250.75
 Wholesale Trading Industry,Medium,12,161
 Wholesale Trading Industry,Small,3,138
 Pesticides,Large,102.75,543.25
 Pesticides,Medium,51.5,"1,217"
 Pesticides,Small,13,73
Agricultural Machinery,Large,127,"4,773.5"
Agricultural Machinery,Medium,22.5,308
Agricultural Machinery,Small,14,30.75
Air Transport & Allied Services ,Large,6,268
Air Transport & Allied Services ,Medium,32,"3,352.5"
Air Transport & Allied Services ,Small,2,11
Air-conditioners & Refrigerators,Large,90,603.5
Air-conditioners & Refrigerators,Medium,1,292.5
Air-conditioners & Refrigerators,Small,0.5,109
Aluminium & Aluminium Products,Large,32.25,198.5
Aluminium & Aluminium Products,Medium,23,188
Aluminium & Aluminium Products,Small,5,61.75
Automobile ,Large,116.5,"2,380.5"
Automobile ,Medium,14.25,309.5
Automobile ,Small,23,133.5
Automobiles Ancillaries,Large,41,443.75
Automobiles Ancillaries,Medium,32,320.25
Automobiles Ancillaries,Small,12.5,103.5
Bakery Products,Large,117.75,642
Bakery Products,Medium,116,"1,461"
Bakery Products,Small,8.25,46.75
Boilers & Turbines,Large,12,126.25
Boilers & Turbines,Medium,6,338.5
Boilers & Turbines,Small,11.25,47
Business services and consultancy,Large,48,634.5
Business services and consultancy,Medium,13.75,297
Business services and consultancy,Small,9,56.75
Castings & Forgings,Large,36,143
Castings & Forgings,Medium,19,131
Castings & Forgings,Small,7,42
Cement,Large,93,601
Cement,Medium,62.75,187.25
Cement,Small,16,112.75
Ceramic Products,Large,42.25,198.5
Ceramic Products,Medium,31,83
Ceramic Products,Small,2,41
Cloth Industry,Large,20,67
Cloth Industry,Medium,21.25,96.5
Cloth Industry,Small,1,64
Coal & Lignite,Large,106,"5,000"
Coal & Lignite,Medium,23,438.5
Coal & Lignite,Small,2.25,443.5
Cocoa Products & Confectionery Industry,Large,110,"2,232.5"
Cocoa Products & Confectionery Industry,Medium,21.25,81
Cocoa Products & Confectionery Industry,Small,23,31
Coffee Industry,Large,25.5,55
Coffee Industry,Medium,10.25,101.75
Coffee Industry,Small,8,2
Commercial Complexes,Large,29.25,72
Commercial Complexes,Medium,65.25,146.25
Commercial Complexes,Small,113,186.75
Communication Equipment,Large,109,"4,337"
Communication Equipment,Medium,36,"1,265"
Communication Equipment,Small,4,24
Computer Software,Large,333.5,"1,988.5"
Computer Software,Medium,54,"1,499.5"
Computer Software,Small,1,419
"Computers, peripherals and storage Device ",Large,107,360
"Computers, peripherals and storage Device ",Medium,43,170
"Computers, peripherals and storage Device ",Small,10,76
Consumer Electronics,Large,71,792
Consumer Electronics,Medium,17,247
Consumer Electronics,Small,3,58
Copper & Copper Products,Large,17.5,45.75
Copper & Copper Products,Medium,4.25,127.75
Copper & Copper Products,Small,12.25,96
"Cosmetics, Toiletries, Soaps & Detergents ",Large,105.75,"2,339.5"
"Cosmetics, Toiletries, Soaps & Detergents ",Medium,52.25,326.25
"Cosmetics, Toiletries, Soaps & Detergents ",Small,7,137
Cotton & Blended Yarn ,Large,30,98.25
Cotton & Blended Yarn ,Medium,23,77.25
Cotton & Blended Yarn ,Small,1,54
Courier Services,Large,61,"3,722"
Courier Services,Medium,26,102.5
Courier Services,Small,10,50.25
Crude Oil & Natural Gas,Large,684,903
Crude Oil & Natural Gas,Medium,87.5,"4,159"
Crude Oil & Natural Gas,Small,4.5,"5,000"
Dairy Products Industry,Large,22,97.5
Dairy Products Industry,Medium,21.5,172
Dairy Products Industry,Small,1,29
Diversified,Large,120,"1,121"
Diversified,Medium,90,359
Diversified,Small,80,120
Diversified Machinery,Large,23.5,"1,039.5"
Diversified Machinery,Medium,37,727
Diversified Machinery,Small,22,122
Diversified Manufacturing,Large,52,"2,927"
Diversified Manufacturing,Medium,33,161
Diversified Manufacturing,Small,8,62
Diversified Non-financial Services,Large,29,408
Diversified Non-financial Services,Medium,10,364
Diversified Non-financial Services,Small,1,94.75
Drugs & Pharmaceuticals ,Large,76,"1,086"
Drugs & Pharmaceuticals ,Medium,46,676.75
Drugs & Pharmaceuticals ,Small,18,217.75
Education,Large,6.5,306
Education,Medium,4,161
Education,Small,7,400
Electricity Generation,Large,44,116.75
Electricity Generation,Medium,41,131
Electricity Generation,Small,17.5,175
Electricity Transmission & Distribution Industry,Large,11,117
Electricity Transmission & Distribution Industry,Medium,28.75,187.25
Electricity Transmission & Distribution Industry,Small,51.75,144.75
Engines Industry,Large,176.5,"2,860.25"
Engines Industry,Medium,544,"5,000"
Engines Industry,Small,7,99
Ferro Alloys,Large,90,336.25
Ferro Alloys,Medium,37,874.25
Ferro Alloys,Small,21,117
Fertilisers,Large,25.25,121.5
Fertilisers,Medium,13,152
Fertilisers,Small,22,45
Footware ,Large,23,71
Footware ,Medium,6,76.5
Footware ,Small,3,23.75
Gems & Jewellery,Large,15,39
Gems & Jewellery,Medium,11,30.75
Gems & Jewellery,Small,0.25,51.25
General Purpose Machinery,Large,57,"1,215.5"
General Purpose Machinery,Medium,30.75,"1,573.5"
General Purpose Machinery,Small,17.5,181
"Generators, Transformers & Switchgears",Large,57,419
"Generators, Transformers & Switchgears",Medium,17.75,109.75
"Generators, Transformers & Switchgears",Small,3,79
Granite ,Large,30,162.5
Granite ,Medium,7.5,80
Granite ,Small,5,86
Healthcare Servises,Large,96.5,466.5
Healthcare Servises,Medium,32.5,269.5
Healthcare Servises,Small,1,419
Hotels & Restaurants,Large,1,96.5
