Pennant Sector,Scale,DebtorsDaysMin,DebtorsDaysMax
 Alcoholic Beverages Industry,Large,"1,263.5","5,228.25"
 Alcoholic Beverages Industry,Medium,"2,530.75","8,764.75"
 Alcoholic Beverages Industry,Small,"9,252.25","30,111.25"
 Books & Cards,Large,"9,305","29,715"
 Books & Cards,Medium,"8,483","20,552"
 Books & Cards,Small,"8,535","41,820"
 Cocoa Products & Confectionery,Large,429.25,"2,035.75"
 Cocoa Products & Confectionery,Medium,"2,052.75","8,394.75"
 Cocoa Products & Confectionery,Small,"1,191.75","6,587.25"
 Diversified Metal & Metal Products ,Large,"2,471","7,682"
 Diversified Metal & Metal Products ,Medium,"1,582.75","7,807.25"
 Diversified Metal & Metal Products ,Small,"5,279","10,591"
 Glass & Glassware,Large,"3,571","8,059.25"
 Glass & Glassware,Medium,"6,569.5","13,795"
 Glass & Glassware,Small,"5,699","15,736.75"
 Misc. Electrical Machinery,Large,"5,102.5","11,754.5"
 Misc. Electrical Machinery,Medium,"7,493","10,804"
 Misc. Electrical Machinery,Small,"4,756.5","14,303"
 Other Consumer Goods,Large,"3,532","10,442"
 Other Consumer Goods,Medium,"4,332.5","14,154.5"
 Other Consumer Goods,Small,"8,241","27,213.5"
 Wholesale Trading Industry,Large,"2,382","10,438.25"
 Wholesale Trading Industry,Medium,"4,168.25","16,330"
 Wholesale Trading Industry,Small,"5,349.75","22,150.25"
 Pesticides,Large,"6,436.5","9,918.75"
 Pesticides,Medium,"5,858","10,409.25"
 Pesticides,Small,"4,537.75","21,776"
Agricultural Machinery,Large,"3,899.5","7,672"
Agricultural Machinery,Medium,"2,479","6,927"
Agricultural Machinery,Small,"4,823.5","15,951.5"
Air Transport & Allied Services ,Large,"2,069.25","5,853.5"
Air Transport & Allied Services ,Medium,"5,572.5","14,808.5"
Air Transport & Allied Services ,Small,"7,457","22,465"
Air-conditioners & Refrigerators,Large,"3,530.5","7,655.5"
Air-conditioners & Refrigerators,Medium,"9,077.25","12,206.5"
Air-conditioners & Refrigerators,Small,"10,830.5","16,191.25"
Aluminium & Aluminium Products,Large,"3,458.25","6,888"
Aluminium & Aluminium Products,Medium,"3,635","6,896.75"
Aluminium & Aluminium Products,Small,"6,415.25","19,996.75"
Automobile ,Large,991,"2,756.5"
Automobile ,Medium,"1,117.75","4,984.75"
Automobile ,Small,"1,722","13,170"
Automobiles Ancillaries,Large,"4,601","7,611"
Automobiles Ancillaries,Medium,"4,881","8,595"
Automobiles Ancillaries,Small,"4,670.5","10,415"
Bakery Products,Large,441.5,"2,678.5"
Bakery Products,Medium,703.25,"3,977.25"
Bakery Products,Small,"2,299","18,485.25"
Boilers & Turbines,Large,"10,564.75","29,354.5"
Boilers & Turbines,Medium,"4,276.75","25,566.25"
Boilers & Turbines,Small,"16,027","54,556"
Business services and consultancy,Large,"3,320","12,977"
Business services and consultancy,Medium,"3,650","21,232.5"
Business services and consultancy,Small,"6,780.5",600
Castings & Forgings,Large,"6,173.5","11,423.75"
Castings & Forgings,Medium,"5,436.75","10,885"
Castings & Forgings,Small,"4,651.25","14,040.25"
Cement,Large,"1,300.75","2,855"
Cement,Medium,840.5,"3,278"
Cement,Small,"1,647","10,683"
Ceramic Products,Large,"6,074","10,310"
Ceramic Products,Medium,"4,153","12,822"
Ceramic Products,Small,"14,070","35,758.5"
Cloth Industry,Large,"5,206.25","8,860.5"
Cloth Industry,Medium,"6,108.25","14,541.75"
Cloth Industry,Small,"4,846","18,871.5"
Coal & Lignite,Large,"2,694","6,694.5"
Coal & Lignite,Medium,"3,307","18,835.75"
Coal & Lignite,Small,"5,018","8,179.75"
Cocoa Products & Confectionery Industry,Large,429.25,"2,035.75"
Cocoa Products & Confectionery Industry,Medium,"2,052.75","8,394.75"
Cocoa Products & Confectionery Industry,Small,"1,191.75","6,587.25"
Coffee Industry,Large,"3,218","4,949"
Coffee Industry,Medium,"2,482.75","8,257.75"
Coffee Industry,Small,923.5,"31,478.5"
Commercial Complexes,Large,"7,601.75","10,757.75"
Commercial Complexes,Medium,"1,855.5","9,815"
Commercial Complexes,Small,"17,190.5","21,389"
Communication Equipment,Large,"7,933","25,833"
Communication Equipment,Medium,"8,195","15,438"
Communication Equipment,Small,"12,629","47,164"
Computer Software,Large,"4,880","12,354"
Computer Software,Medium,"4,735","15,232"
Computer Software,Small,"4,222.5","22,430"
"Computers, peripherals and storage Device ",Large,"5,841","12,130"
"Computers, peripherals and storage Device ",Medium,"12,295.5","20,750.5"
"Computers, peripherals and storage Device ",Small,"9,935",600
Consumer Electronics,Large,"3,164","5,616"
Consumer Electronics,Medium,"4,757.25","13,562"
Consumer Electronics,Small,"10,044","42,649"
Copper & Copper Products,Large,"1,985.5","5,302"
Copper & Copper Products,Medium,"4,261.25","8,422.75"
Copper & Copper Products,Small,"6,371.75","19,779.5"
"Cosmetics, Toiletries, Soaps & Detergents ",Large,"1,571.5","5,873"
"Cosmetics, Toiletries, Soaps & Detergents ",Medium,"1,807.75","7,085"
"Cosmetics, Toiletries, Soaps & Detergents ",Small,"5,678.25","18,130.25"
Cotton & Blended Yarn ,Large,"3,124","5,752.5"
Cotton & Blended Yarn ,Medium,"1,962.5","5,613"
Cotton & Blended Yarn ,Small,"1,527","7,097"
Courier Services,Large,"4,987","6,130"
Courier Services,Medium,"8,606.5","12,021"
Courier Services,Small,"3,830.5","41,469"
Crude Oil & Natural Gas,Large,"2,878","3,302.5"
Crude Oil & Natural Gas,Medium,"5,515.5","6,425.5"
Crude Oil & Natural Gas,Small,"1,595.5","2,684"
Dairy Products Industry,Large,633.5,"3,094"
Dairy Products Industry,Medium,"1,475","6,479.5"
Dairy Products Industry,Small,"1,739","9,395"
Diversified,Large,"4,500","10,800"
Diversified,Medium,"4,400","12,400"
Diversified,Small,"5,900","26,500"
Diversified Machinery,Large,"7,483.25","12,360.75"
Diversified Machinery,Medium,"7,754.75","12,382.75"
Diversified Machinery,Small,"5,300","10,663.25"
Diversified Manufacturing,Large,"2,879","7,537"
Diversified Manufacturing,Medium,"3,814","9,237"
Diversified Manufacturing,Small,"6,056","11,681"
Diversified Non-financial Services,Large,"5,023","15,639.5"
Diversified Non-financial Services,Medium,"4,455","20,208"
Diversified Non-financial Services,Small,"7,095",600
Drugs & Pharmaceuticals ,Large,"5,084","10,842.5"
Drugs & Pharmaceuticals ,Medium,"4,719","10,445"
Drugs & Pharmaceuticals ,Small,"4,376.25","13,086"
Education,Large,"1,939","11,332"
Education,Medium,"3,323.5","20,307"
Education,Small,"6,941",600
Electricity Generation,Large,"4,830","21,018.5"
Electricity Generation,Medium,"4,179.25","27,220.75"
Electricity Generation,Small,"3,320","26,534.25"
Electricity Transmission & Distribution Industry,Large,"3,241","17,186"
Electricity Transmission & Distribution Industry,Medium,"4,005","12,781"
Electricity Transmission & Distribution Industry,Small,"4,296","12,043"
Engines Industry,Large,"5,468.5","7,429.5"
Engines Industry,Medium,"5,097","9,331"
Engines Industry,Small,"14,768","26,338"
Ferro Alloys,Large,"1,475","3,939"
Ferro Alloys,Medium,"1,570.75","5,909"
Ferro Alloys,Small,"1,219.25","2,064.25"
Fertilisers,Large,"1,975","9,159"
Fertilisers,Medium,"4,532.5","12,603"
Fertilisers,Small,"10,041.5","26,063"
Footware ,Large,"4,737","8,142.5"
Footware ,Medium,"8,243","25,626"
Footware ,Small,"4,050","16,076.5"
Gems & Jewellery,Large,400,"10,308"
Gems & Jewellery,Medium,"1,912.5","13,186"
Gems & Jewellery,Small,"3,613.5",600
General Purpose Machinery,Large,"6,952","10,834"
General Purpose Machinery,Medium,"6,524.5","11,701"
General Purpose Machinery,Small,"6,427","12,619.5"
"Generators, Transformers & Switchgears",Large,"6,115","12,137"
"Generators, Transformers & Switchgears",Medium,"8,660.75","17,408.75"
"Generators, Transformers & Switchgears",Small,"8,912","27,452.75"
Granite ,Large,"6,449.5","12,714"
Granite ,Medium,"6,420.5","15,056.5"
Granite ,Small,"26,823","56,826.75"
Healthcare Servises,Large,"2,371","6,135"
Healthcare Servises,Medium,"1,998","9,016"
Healthcare Servises,Small,"1,843","15,242"
Hotels & Restaurants,Large,"1,533","7,740"
Hotels & Restaurants,Medium,"2,107","5,924"
Hotels & Restaurants,Small,"1,912.25","12,277.75"
Housing Construction,Large,"2,486.25","13,417.75"
Housing Construction,Medium,"3,535.5","23,775.5"
Housing Construction,Small,"6,394",600
Industrial Construction,Large,"7,446","18,732"
Industrial Construction,Medium,"8,247.75","23,363.75"
Industrial Construction,Small,"9,522.5","49,338.5"
Industrial Machinery,Large,"5,165.25","13,683.5"
Industrial Machinery,Medium,"3,917.5","11,628.5"
Industrial Machinery,Small,"6,010.5","16,006.75"
Infrastructural Construction,Large,"4,379.5","17,063.5"
Infrastructural Construction,Medium,"4,243.25","20,226.25"
Infrastructural Construction,Small,"5,901","46,523"
Inorganic Chemicals ,Large,"4,432","7,809.5"
Inorganic Chemicals ,Medium,"4,128","7,764.5"
Inorganic Chemicals ,Small,"4,307","10,093"
IT Enabled Services,Large,"4,908.75","12,025.75"
IT Enabled Services,Medium,"4,630","14,963"
IT Enabled Services,Small,"3,221.25","20,049.5"
Leather,Large,"4,028","8,026.25"
Leather,Medium,"6,288.5","15,238.75"
Leather,Small,"4,654.5","16,746.75"
Machine Tools,Large,"5,364","8,191"
Machine Tools,Medium,"4,835.5","8,285.5"
Machine Tools,Small,"6,305.5","30,311.5"
Man-made Filaments & Fibres Industry,Large,"2,523","5,493.5"
Man-made Filaments & Fibres Industry,Medium,"2,719.25","7,206.5"
Man-made Filaments & Fibres Industry,Small,"2,972.75","21,977.5"
Marine Foods,Large,"3,014.25","5,958.25"
Marine Foods,Medium,"2,940","6,902"
Marine Foods,Small,"1,350.25","7,057.5"
Media & Print,Large,"9,091","13,842.25"
Media & Print,Medium,"13,767","30,174"
Media & Print,Small,"8,665","14,450"
Milling Products ,Large,"1,692.5","2,851"
Milling Products ,Medium,"1,930","3,168"
Milling Products ,Small,"1,655","3,194"
Minerals,Large,"2,256.75","7,278"
Minerals,Medium,"3,181.5","8,838"
Minerals,Small,"3,203.25","15,458.5"
Mining & Construction Equipment ,Large,"5,136.5","11,752.5"
Mining & Construction Equipment ,Medium,"5,451.75","15,104.75"
Mining & Construction Equipment ,Small,"6,857.75","21,635.25"
Misc. Manufactured Article,Large,107,372
Misc. Manufactured Article,Medium,84,331
Misc. Manufactured Article,Small,70.25,388.25
Natural Gas Trading & Distribution Industry,Large,"1,726","2,567.5"
Natural Gas Trading & Distribution Industry,Medium,"1,814.5","3,226"
Natural Gas Trading & Distribution Industry,Small,"1,499.5","5,964"
Online Marketplaces,Large,646,"2,272.75"
Online Marketplaces,Medium,"2,793.75","15,660.25"
Online Marketplaces,Small,"3,780.25","28,821"
Organic Chemicals,Large,"2,679","6,729"
Organic Chemicals,Medium,"3,124.5","7,368"
Organic Chemicals,Small,"3,207","10,107"
Other Agricultural Products ,Large,"1,711.5","5,650"
Other Agricultural Products ,Medium,"1,760","8,193"
