Pennant Sector,Scale,EBITDAMarginMin,EBITDAMarginMax
 Alcoholic Beverages Industry,Large,2.39,6.67
 Alcoholic Beverages Industry,Medium,2.64,16.39
 Alcoholic Beverages Industry,Small,3.11,14.1
 Books & Cards,Large,0.05,14.58
 Books & Cards,Medium,3.06,14.55
 Books & Cards,Small,2.44,14.18
 Cocoa Products & Confectionery,Large,10.15,22.53
 Cocoa Products & Confectionery,Medium,4.65,13.01
 Cocoa Products & Confectionery,Small,3,27.49
 Diversified Metal & Metal Products ,Large,5.62,13.56
 Diversified Metal & Metal Products ,Medium,4,12.71
 Diversified Metal & Metal Products ,Small,2.42,16.88
 Glass & Glassware,Large,13.14,34.41
 Glass & Glassware,Medium,5.72,12.66
 Glass & Glassware,Small,3.21,13.82
 Misc. Electrical Machinery,Large,8.08,15.77
 Misc. Electrical Machinery,Medium,6.21,16.9
 Misc. Electrical Machinery,Small,3.43,12.42
 Other Consumer Goods,Large,4.09,21.68
 Other Consumer Goods,Medium,6.61,15.38
 Other Consumer Goods,Small,2,12.32
 Wholesale Trading Industry,Large,2.25,10.77
 Wholesale Trading Industry,Medium,2.13,11.13
 Wholesale Trading Industry,Small,1.62,12.07
 Pesticides,Large,12.12,22.32
 Pesticides,Medium,9.04,14.98
 Pesticides,Small,5.39,18.85
Agricultural Machinery,Large,12.77,18.81
Agricultural Machinery,Medium,4.8,16.28
Agricultural Machinery,Small,4.46,14.42
Air Transport & Allied Services ,Large,2.83,37.02
Air Transport & Allied Services ,Medium,4.78,41.42
Air Transport & Allied Services ,Small,0.89,31.13
Air-conditioners & Refrigerators,Large,6.16,12.27
Air-conditioners & Refrigerators,Medium,0.18,12.29
Air-conditioners & Refrigerators,Small,0.34,17.59
Aluminium & Aluminium Products,Large,6.21,15.65
Aluminium & Aluminium Products,Medium,4.94,10.87
Aluminium & Aluminium Products,Small,3.48,12.86
Automobile ,Large,6.58,10.9
Automobile ,Medium,1.01,12.37
Automobile ,Small,7.87,9.41
Automobiles Ancillaries,Large,6.37,14.13
Automobiles Ancillaries,Medium,6.16,16.65
Automobiles Ancillaries,Small,3.32,12.39
Bakery Products,Large,5.85,16.7
Bakery Products,Medium,4.28,16.38
Bakery Products,Small,0.83,10.26
Boilers & Turbines,Large,5.29,10.61
Boilers & Turbines,Medium,0.31,38.47
Boilers & Turbines,Small,4.17,24.91
Business services and consultancy,Large,9.25,53.7
Business services and consultancy,Medium,7.79,75.65
Business services and consultancy,Small,5.56,87.5
Castings & Forgings,Large,8.77,18.32
Castings & Forgings,Medium,3.91,12.04
Castings & Forgings,Small,0.63,9.44
Cement,Large,11.6,22.56
Cement,Medium,11.16,20.92
Cement,Small,1.73,10.76
Ceramic Products,Large,9.27,17.09
Ceramic Products,Medium,8.05,17.73
Ceramic Products,Small,3.43,10.52
Cloth Industry,Large,6.44,13.11
Cloth Industry,Medium,6.59,13.21
Cloth Industry,Small,3,15.21
Coal & Lignite,Large,0.13,0.71
Coal & Lignite,Medium,0.15,2.81
Coal & Lignite,Small,0.5,1.56
Cocoa Products & Confectionery Industry,Large,10.15,22.53
Cocoa Products & Confectionery Industry,Medium,4.65,13.01
Cocoa Products & Confectionery Industry,Small,3,27.49
Coffee Industry,Large,6.2,15.96
Coffee Industry,Medium,1.18,12.86
Coffee Industry,Small,1,15.11
Commercial Complexes,Large,17.54,46.53
Commercial Complexes,Medium,47.51,76.69
Commercial Complexes,Small,8.71,90
Communication Equipment,Large,19.31,32.05
Communication Equipment,Medium,8.1,25.37
Communication Equipment,Small,2,14.27
Computer Software,Large,16.61,27.18
Computer Software,Medium,8.63,23.62
Computer Software,Small,1,24.54
"Computers, peripherals and storage Device ",Large,6.11,12.99
"Computers, peripherals and storage Device ",Medium,5.05,23.77
"Computers, peripherals and storage Device ",Small,5,40
Consumer Electronics,Large,3.01,3.95
Consumer Electronics,Medium,1.11,9.26
Consumer Electronics,Small,8,14.02
Copper & Copper Products,Large,2.02,6.61
Copper & Copper Products,Medium,1.2,8.1
Copper & Copper Products,Small,3.59,18.58
"Cosmetics, Toiletries, Soaps & Detergents ",Large,10.37,24.24
"Cosmetics, Toiletries, Soaps & Detergents ",Medium,6.04,17.4
"Cosmetics, Toiletries, Soaps & Detergents ",Small,0.1,20.37
Cotton & Blended Yarn ,Large,8.96,15.59
Cotton & Blended Yarn ,Medium,6.6,12.72
Cotton & Blended Yarn ,Small,1,11.55
Courier Services,Large,3.93,10.56
Courier Services,Medium,1,6.74
Courier Services,Small,4.48,59.64
Crude Oil & Natural Gas,Large,59.27,70
Crude Oil & Natural Gas,Medium,41.25,43.71
Crude Oil & Natural Gas,Small,2,10
Dairy Products Industry,Large,2.67,8.44
Dairy Products Industry,Medium,2.67,8.85
Dairy Products Industry,Small,2,6.7
Diversified,Large,7,21
Diversified,Medium,6,21
Diversified,Small,4,32
Diversified Machinery,Large,5.43,13.82
Diversified Machinery,Medium,8.31,11.4
Diversified Machinery,Small,6.96,18.85
Diversified Manufacturing,Large,10.78,20.5
Diversified Manufacturing,Medium,7.83,16.59
Diversified Manufacturing,Small,4.87,20.35
Diversified Non-financial Services,Large,5.91,34.77
Diversified Non-financial Services,Medium,5.44,43.73
Diversified Non-financial Services,Small,1,70.27
Drugs & Pharmaceuticals ,Large,15.28,31.83
Drugs & Pharmaceuticals ,Medium,7.88,22.08
Drugs & Pharmaceuticals ,Small,3.83,19.34
Education,Large,4.41,28.39
Education,Medium,6.76,29.84
Education,Small,6,37.18
Electricity Generation,Large,30.01,78.85
Electricity Generation,Medium,65.65,90
Electricity Generation,Small,45.02,86.24
Electricity Transmission & Distribution Industry,Large,4.57,16.37
Electricity Transmission & Distribution Industry,Medium,16.41,90
Electricity Transmission & Distribution Industry,Small,25.53,90
Engines Industry,Large,11.33,14.44
Engines Industry,Medium,9.82,15.09
Engines Industry,Small,5,7.88
Ferro Alloys,Large,13.08,35.66
Ferro Alloys,Medium,5.42,16.38
Ferro Alloys,Small,1.88,14.78
Fertilisers,Large,6.74,15.91
