Pennant Sector,Scale,GrossProfitMarginMin,GrossProfitMarginMax
 Alcoholic Beverages Industry,Large,66.17,90.87
 Alcoholic Beverages Industry,Medium,30.82,66.77
 Alcoholic Beverages Industry,Small,43.79,79.79
 Books & Cards,Large,44.98,80.91
 Books & Cards,Medium,29.28,63.13
 Books & Cards,Small,39.58,66.38
 Cocoa Products & Confectionery,Large,42.4,55.87
 Cocoa Products & Confectionery,Medium,40.85,60.9
 Cocoa Products & Confectionery,Small,31.23,55.95
 Diversified Metal & Metal Products ,Large,18.17,52.36
 Diversified Metal & Metal Products ,Medium,11.07,50.26
 Diversified Metal & Metal Products ,Small,21.14,59.84
 Glass & Glassware,Large,47.98,61.19
 Glass & Glassware,Medium,31.58,48.87
 Glass & Glassware,Small,23.39,50.51
 Misc. Electrical Machinery,Large,27.64,48.72
 Misc. Electrical Machinery,Medium,34.9,55.44
 Misc. Electrical Machinery,Small,25.88,55.1
 Other Consumer Goods,Large,40.9,71.1
 Other Consumer Goods,Medium,38.8,58.42
 Other Consumer Goods,Small,29.59,56.74
 Wholesale Trading Industry,Large,90,95
 Wholesale Trading Industry,Medium,90,95
 Wholesale Trading Industry,Small,90,95
 Pesticides,Large,35.79,49.27
 Pesticides,Medium,24.96,44.78
 Pesticides,Small,24.8,61.28
Agricultural Machinery,Large,35.51,42.22
Agricultural Machinery,Medium,24.69,46.42
Agricultural Machinery,Small,16.65,41.25
Air Transport & Allied Services ,Large,74.57,95
Air Transport & Allied Services ,Medium,90,95
Air Transport & Allied Services ,Small,78.53,95
Air-conditioners & Refrigerators,Large,37.8,48.66
Air-conditioners & Refrigerators,Medium,30.2,40.85
Air-conditioners & Refrigerators,Small,34.08,71.93
Aluminium & Aluminium Products,Large,18.31,36
Aluminium & Aluminium Products,Medium,13.24,37.85
Aluminium & Aluminium Products,Small,18.41,43.06
Automobile ,Large,23.86,31.16
Automobile ,Medium,20.43,39.42
Automobile ,Small,18.18,32.77
Automobiles Ancillaries,Large,23.4,40.18
Automobiles Ancillaries,Medium,26.59,44.8
Automobiles Ancillaries,Small,24.43,47.38
Bakery Products,Large,30.66,50.19
Bakery Products,Medium,30.33,50.75
Bakery Products,Small,41.66,50.36
Boilers & Turbines,Large,28.82,38.66
Boilers & Turbines,Medium,31.08,43.08
Boilers & Turbines,Small,44.23,67.06
Business services and consultancy,Large,90,95
Business services and consultancy,Medium,90,95
Business services and consultancy,Small,90,95
Castings & Forgings,Large,30.92,42.49
Castings & Forgings,Medium,21.43,38.28
Castings & Forgings,Small,20.45,38.18
Cement,Large,57.68,64.78
Cement,Medium,47.3,59.2
Cement,Small,13.5,45.52
Ceramic Products,Large,30.49,61.17
Ceramic Products,Medium,26.86,55.42
Ceramic Products,Small,8.74,50.44
Cloth Industry,Large,24.66,42.71
Cloth Industry,Medium,22.66,48.45
Cloth Industry,Small,23.74,57.4
Coal & Lignite,Large,1,5.86
Coal & Lignite,Medium,1,1.62
Coal & Lignite,Small,1.5,10
Cocoa Products & Confectionery Industry,Large,42.4,55.87
Cocoa Products & Confectionery Industry,Medium,40.85,60.9
Cocoa Products & Confectionery Industry,Small,31.23,55.95
Coffee Industry,Large,13.37,38.27
Coffee Industry,Medium,42.41,90.58
Coffee Industry,Small,86.92,95
Commercial Complexes,Large,90,95
Commercial Complexes,Medium,90,95
Commercial Complexes,Small,86.32,95
Communication Equipment,Large,46.24,52.87
Communication Equipment,Medium,31.69,63.04
Communication Equipment,Small,40.83,68.21
Computer Software,Large,90,95
Computer Software,Medium,90,95
Computer Software,Small,90,95
"Computers, peripherals and storage Device ",Large,58.37,87.07
"Computers, peripherals and storage Device ",Medium,35.17,95
"Computers, peripherals and storage Device ",Small,83.33,95.24
Consumer Electronics,Large,5.91,11.4
Consumer Electronics,Medium,22.18,58.37
Consumer Electronics,Small,30.19,48.09
Copper & Copper Products,Large,8.83,23.92
Copper & Copper Products,Medium,8.36,33.3
Copper & Copper Products,Small,10.63,34.24
"Cosmetics, Toiletries, Soaps & Detergents ",Large,33.41,71.71
"Cosmetics, Toiletries, Soaps & Detergents ",Medium,32.06,55.23
"Cosmetics, Toiletries, Soaps & Detergents ",Small,30.38,61.08
Cotton & Blended Yarn ,Large,24.67,37.38
Cotton & Blended Yarn ,Medium,21.34,36.85
Cotton & Blended Yarn ,Small,16.72,38.81
Courier Services,Large,90,95
Courier Services,Medium,90,95
Courier Services,Small,90,95
Crude Oil & Natural Gas,Large,90,95
Crude Oil & Natural Gas,Medium,90,95
Crude Oil & Natural Gas,Small,90,95
Dairy Products Industry,Large,15.07,31.27
Dairy Products Industry,Medium,16.45,32.48
Dairy Products Industry,Small,13.85,53.03
Diversified,Large,43,67
Diversified,Medium,41,65
Diversified,Small,45,71
Diversified Machinery,Large,41.07,59.27
Diversified Machinery,Medium,33.01,55.98
Diversified Machinery,Small,29.17,48.29
Diversified Manufacturing,Large,31.3,58.43
Diversified Manufacturing,Medium,30.9,55.59
Diversified Manufacturing,Small,36.18,77.41
Diversified Non-financial Services,Large,80.37,95
Diversified Non-financial Services,Medium,88.82,95
Diversified Non-financial Services,Small,90,95
Drugs & Pharmaceuticals ,Large,90,95
Drugs & Pharmaceuticals ,Medium,90,95
Drugs & Pharmaceuticals ,Small,90,95
Education,Large,90,95
Education,Medium,90,95
Education,Small,90,95
Electricity Generation,Large,39.4,95
Electricity Generation,Medium,90,95
Electricity Generation,Small,90,95
Electricity Transmission & Distribution Industry,Large,90,95
Electricity Transmission & Distribution Industry,Medium,90,95
Electricity Transmission & Distribution Industry,Small,90,95
Engines Industry,Large,19.73,43.93
Engines Industry,Medium,21.54,34.02
Engines Industry,Small,18.68,60.08
Ferro Alloys,Large,33.12,55.67
Ferro Alloys,Medium,17.25,31.27
Ferro Alloys,Small,13.07,34.72
Fertilisers,Large,15.28,36.1
Fertilisers,Medium,22.36,45.54
Fertilisers,Small,23.55,66.36
Footware ,Large,44.07,53.81
Footware ,Medium,32.81,46.54
Footware ,Small,28.97,64.47
Gems & Jewellery,Large,9.35,43.65
Gems & Jewellery,Medium,7.53,37.98
Gems & Jewellery,Small,13.07,82.61
General Purpose Machinery,Large,35.65,50.16
General Purpose Machinery,Medium,33.48,56.43
General Purpose Machinery,Small,36.98,65.63
"Generators, Transformers & Switchgears",Large,20.89,41.04
"Generators, Transformers & Switchgears",Medium,19.21,36.85
"Generators, Transformers & Switchgears",Small,15.76,48.6
Granite ,Large,48.9,72.55
Granite ,Medium,45.74,72.82
Granite ,Small,32.13,72.13
Healthcare Services,Large,90,95
Healthcare Services,Medium,90,95
Healthcare Services,Small,90,95
Hotels & Restaurants,Large,87.07,94.22
Hotels & Restaurants,Medium,83.1,92.2
Hotels & Restaurants,Small,83.01,95
Housing Construction,Large,85.16,95
Housing Construction,Medium,58.01,95
Housing Construction,Small,87.61,95
Industrial Construction,Large,37.4,92.5
Industrial Construction,Medium,47.16,90.84
Industrial Construction,Small,51.52,95
Industrial Machinery,Large,34.82,52.89
Industrial Machinery,Medium,31.51,54.09
Industrial Machinery,Small,25.03,55.54
Infrastructural Construction,Large,52.91,89.33
Infrastructural Construction,Medium,52.19,95
Infrastructural Construction,Small,54.21,95
Inorganic Chemicals ,Large,35.74,54.86
Inorganic Chemicals ,Medium,30.84,52.47
Inorganic Chemicals ,Small,38,58.63
IT Enabled Services,Large,90,95
IT Enabled Services,Medium,90,95
IT Enabled Services,Small,90,95
Leather,Large,36.2,51.61
Leather,Medium,33.68,51.85
Leather,Small,28.8,61.97
Machine Tools,Large,33.33,63.81
Machine Tools,Medium,40.47,67.5
Machine Tools,Small,28.85,68.48
Man-made Filaments & Fibres Industry,Large,21.88,33.64
Man-made Filaments & Fibres Industry,Medium,21.44,35.73
Man-made Filaments & Fibres Industry,Small,22.82,51.59
Marine Foods,Large,18.57,27.5
Marine Foods,Medium,14.23,30
Marine Foods,Small,22.53,43.7
Media & Print,Large,62.45,74.88
Media & Print,Medium,68.83,81.78
Media & Print,Small,70,95
Milling Products ,Large,9.28,21.56
Milling Products ,Medium,6.9,20.95
Milling Products ,Small,6.4,13.3
Minerals,Large,36.84,84.86
Minerals,Medium,39.67,78.7
Minerals,Small,25.9,86.37
Mining & Construction Equipment ,Large,5,25
Mining & Construction Equipment ,Medium,2,10
Mining & Construction Equipment ,Small,8,40
Misc. Manufactured Article,Large,39.8,64.61
Misc. Manufactured Article,Medium,34.22,61.78
Misc. Manufactured Article,Small,43.85,95
Natural Gas Trading & Distribution Industry,Large,55.33,95
Natural Gas Trading & Distribution Industry,Medium,85.29,95
Natural Gas Trading & Distribution Industry,Small,50.8,95
Online Marketplaces,Large,90,95
Online Marketplaces,Medium,90,95
Online Marketplaces,Small,90,95
Organic Chemicals,Large,25.77,37.15
Organic Chemicals,Medium,24.03,44.36
Organic Chemicals,Small,21.4,59.02
Other Agricultural Products ,Large,18.5,52.08
Other Agricultural Products ,Medium,10.23,49.97
Other Agricultural Products ,Small,41,95
Other Chemical Products,Large,29.65,48.44
Other Chemical Products,Medium,24.71,49.79
Other Chemical Products,Small,24,50.66
Other Construction Material ,Large,36.44,48.35
Other Construction Material ,Medium,30.03,52.03
Other Construction Material ,Small,28.17,50
Other Domestic Appliance,Large,31.33,65.38
Other Domestic Appliance,Medium,23.36,55.43
Other Domestic Appliance,Small,32.58,59.88
Other Electronics,Large,24.27,51.98
Other Electronics,Medium,32.32,58.78
Other Electronics,Small,28.28,58.9
Other Ferrous Metal ,Large,17.22,39.22
Other Ferrous Metal ,Medium,16.32,44.27
Other Ferrous Metal ,Small,23.81,50.81
Other Industrial Machinery ,Large,53.2,60.82
Other Industrial Machinery ,Medium,43.42,55.34
Other Industrial Machinery ,Small,28.39,39.1
Other Leather & Related Products ,Large,34.85,49.33
Other Leather & Related Products ,Medium,33.14,52.7
Other Leather & Related Products ,Small,36.42,52.04
Other Misc Services,Large,85.98,95
Other Misc Services,Medium,86.05,95
Other Misc Services,Small,90,95
Other Non-ferrous Metals & Metal Products I,Large,10.67,30.75
Other Non-ferrous Metals & Metal Products I,Medium,14.06,34.42
Other Non-ferrous Metals & Metal Products I,Small,10.88,27.43
Other Textiles Industry,Large,28.55,43.19
Other Textiles Industry,Medium,25.99,56.08
Other Textiles Industry,Small,30.65,65.04
Other Transport Equipment & Ancillaries,Large,35.29,53.53
Other Transport Equipment & Ancillaries,Medium,30.42,47.62
Other Transport Equipment & Ancillaries,Small,29.85,62.92
Paints & Varnishes ,Large,35.69,45.05
Paints & Varnishes ,Medium,31.57,47.04
Paints & Varnishes ,Small,28.5,56.42
Paper Products ,Large,21.63,37.93
Paper Products ,Medium,22.74,43.87
Paper Products ,Small,25.45,50.45
Petroleum Products,Large,29.42,58.92
Petroleum Products,Medium,25.56,51.93
Petroleum Products,Small,11.37,39.73
Pig Iron,Large,24.7,29.09
Pig Iron,Medium,4.95,11.36
Pig Iron,Small,16.1,40.97
Plastic Products,Large,24.06,40.18
Plastic Products,Medium,20.2,39.04
Plastic Products,Small,16.23,49.35
Polymers,Large,26.35,49.35
Polymers,Medium,22.16,39.49
Polymers,Small,22.19,54.66
Poultry & Meat Products ,Large,13.23,26.87
Poultry & Meat Products ,Medium,14.06,31.92
Poultry & Meat Products ,Small,47.8,95
Processed Foods Industry,Large,33.97,59.75
Processed Foods Industry,Medium,28.58,64.34
Processed Foods Industry,Small,25.95,59.2
Railway Transport & Allied Services ,Large,89.1,95
Railway Transport & Allied Services ,Medium,90,95
Railway Transport & Allied Services ,Small,84.58,95
Readymade Garments,Large,44.43,63.86
Readymade Garments,Medium,40.84,64.04
Readymade Garments,Small,39.59,74.3
Refractories,Large,37.77,47.93
Refractories,Medium,29.81,41.64
Refractories,Small,36.1,58.78
Retail Trading ,Large,90,95
Retail Trading ,Medium,90,95
Retail Trading ,Small,90,95
Road Transport & Allied Services,Large,90,95
Road Transport & Allied Services,Medium,90,95
Road Transport & Allied Services,Small,90,95
Rubber Products,Large,34.57,49
Rubber Products,Medium,29.1,51.37
Rubber Products,Small,31.3,64.58
Shipping,Large,87.65,95
Shipping,Medium,81.34,95
Shipping,Small,90,95
Shipping Transport & Allied Services ,Large,89.81,95
Shipping Transport & Allied Services ,Medium,85.44,95
Shipping Transport & Allied Services ,Small,90,95
Sponge Iron,Large,16.99,33.98
Sponge Iron,Medium,11.57,30.54
Sponge Iron,Small,11.72,28.53
Starches,Large,20.14,24.41
Starches,Medium,15.34,30.01
Starches,Small,15.52,24.76
Steel,Large,13.51,30.88
Steel,Medium,9.66,27.36
Steel,Small,10.76,47.99
Steel Pipes & Tubes,Large,16.96,30.23
Steel Pipes & Tubes,Medium,9.78,26.9
Steel Pipes & Tubes,Small,15.66,57.82
Storage & Distribution Industry,Large,90,95
Storage & Distribution Industry,Medium,90,95
Storage & Distribution Industry,Small,67.75,95
Sugar Industry,Large,14.87,31.75
Sugar Industry,Medium,13.76,33.78
Sugar Industry,Small,2,32.2
Synthetic Rubber,Large,31.32,31.32
Synthetic Rubber,Medium,48.2,48.2
Synthetic Rubber,Small,54.03,54.03
Tea Industry,Large,56.74,79.79
Tea Industry,Medium,60.93,82.61
Tea Industry,Small,71.21,90.37
Telecommunication Services,Large,86.82,95
Telecommunication Services,Medium,90,95
Telecommunication Services,Small,90,95
Textile Others,Large,30.5,47.24
Textile Others,Medium,25.84,46.73
Textile Others,Small,29.34,66.97
Textile Processing ,Large,23.31,40.74
Textile Processing ,Medium,26.67,45.66
Textile Processing ,Small,31.39,55.65
Tobacco Products Industry,Large,56.99,71.99
Tobacco Products Industry,Medium,28.42,77.16
Tobacco Products Industry,Small,18.82,64.1
Tourism Industry,Large,90,95
Tourism Industry,Medium,90,95
Tourism Industry,Small,90,95
Transport Logistics Services,Large,90,95
Transport Logistics Services,Medium,90,95
Transport Logistics Services,Small,90,95
Vegetable Oils & Products Industry,Large,9.01,25.37
Vegetable Oils & Products Industry,Medium,8.31,22.65
Vegetable Oils & Products Industry,Small,8.8,49.54
Wires & Cables,Large,18.16,31.41
Wires & Cables,Medium,10.99,26.03
Wires & Cables,Small,6.03,24.19
Wood & Wood Products,Large,36.62,51.09
Wood & Wood Products,Medium,20.81,38.57
Wood & Wood Products,Small,16.03,39.37
